"Bot Name:","Virtual Banking Bot"
"Report name:","virtualbankingbotbatchtesting"
"Last tested date and time:","05-09-2020 1:23:42 PM"
"Utterance count:","10"
"Percentage breakdown:","100.00% True Positive","0.00% True Negative","0.00% False Positive","0.00% False Negative"
"Success / Failure Ratio:","100.00"
"F1 Score:","1.00"
"Precision:","1.00"
"Recall:","1.00"
"Total Entities Count:","2"
"Matched Entities Count:","2"
"Entities Success / Failure Ration:","100.00"
"Utterance","ExpectedIntent","MatchedIntent","Parent Intent","TaskState","ResultType","Entity Name","Expected EntityValue","Matched EntityValue","Entity Result","Expected Entity Order","Acutal Entity Order","Matched Intent's Score","Expected Intent's Score"
"Provide transaction history","searchTransactionsALL","searchtransactionsall","None","configured","TP","","","","","","GetUserInputs > ReceiveInputfromUser","ML: 100; RR: 12112.22","ML: 100; RR: 12112.22"
"Transaction details","searchTransactions","searchtransactions","None","configured","TP","","","","","","requestTransactionId","ML: 100; RR: 11610","ML: 100; RR: 11610"
"Get my completed transactions","search Transaction Status","search transaction status","None","configured","TP","TransactionStatus","Completed","completed","True","","TransactionStatus","ML: 100; FM: 8257.14; RR: 11836.03","ML: 100; FM: 8257.14; RR: 11836.03"
"Get me my transaction details","searchTransactions","searchtransactions","None","configured","TP","","","","","","requestTransactionId","ML: 100; RR: 12154.52","ML: 100; RR: 12154.52"
"Provide account statement for April","get Account Statement","get account statement","None","configured","TP","","","","","","get_Account_Number > get_Account_Type > start_Date > endDate","ML: 100; FM: 8050; RR: 8050","ML: 100; FM: 8050; RR: 8050"
"Provide details of pending transactions","search Transaction Status","search transaction status","None","configured","TP","TransactionStatus","Pending","pending","True","","TransactionStatus","ML: 100; FM: 9816.67; RR: 12104.52","ML: 100; FM: 9816.67; RR: 12104.52"
"My todays transaction details","searchTransactions","searchtransactions","None","configured","TP","","","","","","requestTransactionId","ML: 100; RR: 11539.37","ML: 100; RR: 11539.37"
"check my Transaction History","searchTransactions","searchtransactions","None","configured","TP","","","","","","requestTransactionId","ML: 100; RR: 11902.7","ML: 100; RR: 11902.7"
"Provide me the account statement for current month","get Account Statement","get account statement","None","configured","TP","","","","","","get_Account_Number > get_Account_Type > start_Date > endDate","ML: 100; FM: 8050; RR: 8050","ML: 100; FM: 8050; RR: 8050"
"I want to know the transaction detail","searchTransactions","searchtransactions","None","configured","TP","","","","","","requestTransactionId","ML: 99; RR: 10941.48","ML: 99; RR: 10941.48"
